id;name;name_old;cartodb_id
1;Москва;Москва;1
2;Санкт-Петербург;Санкт-Петербург;2
1118;Республика Бурятия;Бурятия;10
1471;Карачаево-Черкесская Республика;Карачаево-Черкесская республика;13
1424;Республика Дагестан;Дагестан;14
1500;Чеченская республика;Чеченская республика;32
1434;Республика Ингушетия;Ингушетия;34
1463;Кабардино-Балкарская республика;Кабардино-Балкарская республика;36
1422;Республика Адыгея;Адыгея;37
1652;Чувашская Республика;Чувашия;49
1624;Республика Татарстан;Татарстан;50
1646;Удмуртская Республика;Удмуртская республика;59
1620;Республика Марий Эл;Марий Эл;60
1347;Республика Башкортостан;Башкортостан;61
1368;Ханты-Мансийский АО - Югра;Ханты-Мансийский автономный округ - Югра;71
1169;Республика Тыва;Тыва;76
1216;Республика Алтай;Алтай;77
145;Ленинградская область;Ленинградская область;145
1008;Архангельская область;Архангельская область;1008
1020;Калининградская область;Калининградская область;1020
1041;Республика Коми;Республика Коми;1041
1051;Новгородская область;Новгородская область;1051
1061;Мурманская область;Мурманская область;1061
1077;Республика Карелия;Республика Карелия;1077
1090;Псковская область;Псковская область;1090
1103;Смоленская область;Смоленская область;1103
1124;Иркутская область;Иркутская область;1124
1146;Красноярский край;Красноярский край;1146
1174;Республика Саха (Якутия);Республика Саха (Якутия);1174
1187;Республика Хакасия;Республика Хакасия;1187
1192;Забайкальский край;Забайкальский край;1192
1202;Новосибирская область;Новосибирская область;1202
1217;Алтайский край;Алтайский край;1217
1229;Кемеровская область;Кемеровская область;1229
1249;Омская область;Омская область;1249
1255;Томская область;Томская область;1255
1261;Свердловская область;Свердловская область;1261
1308;Курганская область;Курганская область;1308
1317;Пермский край;Пермский край;1317
1342;Тюменская область;Тюменская область;1342
1384;Челябинская область;Челябинская область;1384
1414;Ямало-Ненецкий АО;Ямало-Ненецкий АО;1414
1438;Краснодарский край;Краснодарский край;1438
1475;Республика Северная Осетия-Алания;Республика Северная Осетия-Алания;1475
1481;Ставропольский край;Ставропольский край;1481
1505;Астраханская область;Астраханская область;1505
1511;Волгоградская область;Волгоградская область;1511
1530;Ростовская область;Ростовская область;1530
1553;Республика Калмыкия;Республика Калмыкия;1553
1556;Республика Мордовия;Республика Мордовия;1556
1563;Оренбургская область;Оренбургская область;1563
1575;Пензенская область;Пензенская область;1575
1586;Самарская область;Самарская область;1586
1596;Саратовская область;Саратовская область;1596
1614;Ульяновская область;Ульяновская область;1614
1661;Кировская область;Кировская область;1661
1679;Нижегородская область;Нижегородская область;1679
1704;Рязанская область;Рязанская область;1704
1716;Владимирская область;Владимирская область;1716
1739;Вологодская область;Вологодская область;1739
1754;Ивановская область;Ивановская область;1754
1771;Костромская область;Костромская область;1771
1783;Тверская область;Тверская область;1783
1806;Ярославская область;Ярославская область;1806
1817;Белгородская область;Белгородская область;1817
1828;Брянская область;Брянская область;1828
1844;Воронежская область;Воронежская область;1844
1859;Калужская область;Калужская область;1859
1880;Курская область;Курская область;1880
1890;Липецкая область;Липецкая область;1890
1898;Орловская область;Орловская область;1898
1905;Тамбовская область;Тамбовская область;1905
1913;Тульская область;Тульская область;1913
1932;Амурская область;Амурская область;1932
1941;Еврейская АО;Еврейская АО;1941
1943;Камчатский край;Камчатский край;1943
1946;Магаданская область;Магаданская область;1946
1948;Приморский край;Приморский край;1948
1960;Сахалинская область;Сахалинская область;1960
1975;Хабаровский край;Хабаровский край;1975
1982;Чукотский АО;Чукотский АО;1982
1985;Ненецкий АО;Ненецкий АО;1985
2019;Московская область;Московская область;2019
