id,parent_id,name
1620,113,Республика Марий Эл
1624,113,Республика Татарстан
1646,113,Удмуртская Республика
1652,113,Чувашская Республика
1192,113,Забайкальский край
1124,113,Иркутская область
1146,113,Красноярский край
1118,113,Республика Бурятия
1174,113,Республика Саха (Якутия)
1169,113,Республика Тыва
1187,113,Республика Хакасия
1661,113,Кировская область
1679,113,Нижегородская область
1704,113,Рязанская область
2134,113,Донецкая область
1217,113,Алтайский край
1229,113,Кемеровская область
1202,113,Новосибирская область
1249,113,Омская область
1216,113,Республика Алтай
1255,113,Томская область
1,113,Москва
2019,113,Московская область
1932,113,Амурская область
1941,113,Еврейская АО
1943,113,Камчатский край
1946,113,Магаданская область
1948,113,Приморский край
1960,113,Сахалинская область
1975,113,Хабаровский край
1982,113,Чукотский АО
2155,113,Запорожская область
1008,113,Архангельская область
1020,113,Калининградская область
145,113,Ленинградская область
1061,113,Мурманская область
1985,113,Ненецкий АО
1051,113,Новгородская область
1090,113,Псковская область
1077,113,Республика Карелия
1041,113,Республика Коми
2,113,Санкт-Петербург
1103,113,Смоленская область
1716,113,Владимирская область
1739,113,Вологодская область
1754,113,Ивановская область
1771,113,Костромская область
1783,113,Тверская область
1806,113,Ярославская область
1563,113,Оренбургская область
1575,113,Пензенская область
1556,113,Республика Мордовия
1586,113,Самарская область
1596,113,Саратовская область
1614,113,Ульяновская область
1308,113,Курганская область
1317,113,Пермский край
1347,113,Республика Башкортостан
1261,113,Свердловская область
1342,113,Тюменская область
1368,113,Ханты-Мансийский АО - Югра
1384,113,Челябинская область
1414,113,Ямало-Ненецкий АО
1463,113,Кабардино-Балкарская республика
1471,113,Карачаево-Черкесская Республика
1438,113,Краснодарский край
1422,113,Республика Адыгея
1424,113,Республика Дагестан
1434,113,Республика Ингушетия
1475,113,Республика Северная Осетия-Алания
1481,113,Ставропольский край
1500,113,Чеченская республика
2173,113,Луганская область
1817,113,Белгородская область
1828,113,Брянская область
1844,113,Воронежская область
1859,113,Калужская область
1880,113,Курская область
1890,113,Липецкая область
1898,113,Орловская область
1905,113,Тамбовская область
1913,113,Тульская область
1505,113,Астраханская область
1511,113,Волгоградская область
1553,113,Республика Калмыкия
2114,113,Республика Крым
1530,113,Ростовская область
6795,113,Киреевка
2209,113,Херсонская область
