name,cartodb_id
Бурятия,10
Карачаево-Черкесская республика,13
Сахалинская область,1960
Воронежская область,1844
Томская область,1255
Новосибирская область,1202
Ненецкий АО,1985
Магаданская область,1946
Камчатский край,1943
Приморский край,1948
Ставропольский край,1481
Алтайский край,1217
Москва,1
Тыва,76
Тамбовская область,1905
Свердловская область,1261
Ханты-Мансийский автономный округ - Югра,71
Чукотский АО,1982
Тюменская область,1342
Владимирская область,1716
Московская область,2019
Волгоградская область,1511
Оренбургская область,1563
Самарская область,1586
Астраханская область,1505
Адыгея,37
Республика Калмыкия,1553
Краснодарский край,1438
Ростовская область,1530
Мурманская область,1061
Псковская область,1090
Санкт-Петербург,2
Ленинградская область,145
Республика Мордовия,1556
Татарстан,50
Кировская область,1661
Костромская область,1771
Тверская область,1783
Тульская область,1913
Калужская область,1859
Ульяновская область,1614
Марий Эл,60
Смоленская область,1103
Пермский край,1317
Ивановская область,1754
Чувашия,49
Республика Северная Осетия-Алания,1475
Брянская область,1828
Пензенская область,1575
Белгородская область,1817
Липецкая область,1890
Новгородская область,1051
Архангельская область,1008
Нижегородская область,1679
Курганская область,1308
Курская область,1880
Забайкальский край,1192
Алтай,77
Рязанская область,1704
Ямало-Ненецкий АО,1414
Красноярский край,1146
Республика Саха (Якутия),1174
Дагестан,14
Омская область,1249
Республика Коми,1041
Чеченская республика,32
Кабардино-Балкарская республика,36
Саратовская область,1596
Калининградская область,1020
Орловская область,1898
Республика Карелия,1077
Иркутская область,1124
Амурская область,1932
Еврейская АО,1941
Хабаровский край,1975
Кемеровская область,1229
Республика Хакасия,1187
Ярославская область,1806
Удмуртская республика,59
Вологодская область,1739
Ингушетия,34
Челябинская область,1384
Башкортостан,61
